field_1,Date,Latitude,Longitude,water_temp
3255,2/9/2009,40.19588,-77.18745,8.1
3258,2/10/2016,40.17999,-77.18692,10.3
3259,2/10/2016,40.17667,-77.18507,10.5
3260,2/10/2016,40.17663,-77.18537,10.4
3261,2/10/2016,40.18844,-77.18606,10.4
3262,2/10/2016,40.19528,-77.18423,10.2
3263,2/10/2016,40.20792,-77.18104,9.8
3264,2/10/2016,40.21418,-77.16883,10
3265,2/10/2016,40.21847,-77.16003,9.6
3266,2/10/2016,40.22429,-77.14928,10
3267,2/10/2016,40.23487,-77.14193,9.6
3268,2/10/2020,40.17999,-77.18692,10.6
3269,2/10/2020,40.17667,-77.18507,10.8
3270,2/10/2020,40.17663,-77.18537,10.7
3271,2/10/2020,40.19528,-77.18423,10.5
3272,2/10/2020,40.22429,-77.14928,10.5
3273,2/10/2020,40.23487,-77.14193,10.3
3275,2/12/2012,40.17663,-77.18537,9.7
3276,2/12/2012,40.23487,-77.14193,8.4
3277,2/12/2012,40.17667,-77.18507,9.8
3278,2/12/2012,40.17999,-77.18692,9.9
3279,2/12/2012,40.18844,-77.18606,9.4
3280,2/12/2012,40.19528,-77.18423,9.2
3281,2/12/2012,40.20792,-77.18104,8.8
3282,2/12/2012,40.21418,-77.16883,9.2
3283,2/12/2012,40.21847,-77.16003,8.8
3284,2/12/2012,40.22429,-77.14928,8.7
3286,2/13/2019,40.17999,-77.18692,9.3
3287,2/13/2019,40.17667,-77.18507,9.8
3288,2/13/2019,40.17663,-77.18537,9.6
3289,2/13/2019,40.19528,-77.18423,9.6
3290,2/13/2019,40.20792,-77.18104,8.7
3291,2/13/2019,40.22429,-77.14928,9.1
3292,2/13/2019,40.23487,-77.14193,9.5
3293,2/14/2020,40.236495,-77.193667,5.9
3294,2/15/2013,40.17663,-77.18537,11.4
3295,2/15/2013,40.23487,-77.14193,10.7
3296,2/15/2013,40.17667,-77.18507,12
3297,2/15/2013,40.17999,-77.18692,11.7
3298,2/15/2013,40.18844,-77.18606,11.8
3299,2/15/2013,40.19528,-77.18423,12
3300,2/15/2013,40.20792,-77.18104,11.4
3301,2/15/2013,40.21418,-77.16883,10.9
3302,2/15/2013,40.21847,-77.16003,10.6
3303,2/15/2013,40.22429,-77.14928,10.8
3304,2/15/2017,40.17663,-77.18537,9.7
3305,2/15/2017,40.23487,-77.14193,8.7
3306,2/15/2017,40.17667,-77.18507,9.7
3307,2/15/2017,40.17999,-77.18692,10.3
3308,2/15/2017,40.19528,-77.18423,9.1
3309,2/15/2017,40.20792,-77.18104,8.6
3310,2/15/2017,40.22429,-77.14928,9.2
3316,2/17/2004,40.17663,-77.18537,10.8
3317,2/17/2004,40.23487,-77.14193,9.2
3318,2/17/2004,40.17667,-77.18507,11.2
3319,2/17/2004,40.17999,-77.18692,10.4
3320,2/17/2004,40.18844,-77.18606,10.4
3321,2/17/2004,40.19528,-77.18423,10.4
3322,2/17/2004,40.20792,-77.18104,9.8
3323,2/17/2004,40.21418,-77.16883,9.7
3324,2/17/2004,40.21847,-77.16003,9.2
3325,2/17/2004,40.22429,-77.14928,9.2
3326,2/17/2004,40.19568,-77.18767,10.4
3327,2/17/2004,40.19608,-77.18518,11.9
3328,2/17/2020,40.234075,-77.218027,6.3
3329,2/19/2010,40.17663,-77.18537,11.6
3330,2/19/2010,40.23487,-77.14193,10.5
3331,2/19/2010,40.17667,-77.18507,11.7
3332,2/19/2010,40.17999,-77.18692,11.3
3333,2/19/2010,40.18844,-77.18606,11.9
3334,2/19/2010,40.19528,-77.18423,11.8
3335,2/19/2010,40.20792,-77.18104,11.2
3336,2/19/2010,40.21418,-77.16883,11
3337,2/19/2010,40.21847,-77.16003,10.7
3338,2/19/2010,40.22429,-77.14928,10.9
3339,2/19/2010,40.19568,-77.18767,12.2
3340,2/19/2010,40.19608,-77.18518,13.3
3341,2/19/2010,40.19588,-77.18745,10.7
3342,2/20/2002,40.17663,-77.18537,12.1
3343,2/20/2002,40.23487,-77.14193,10.3
3344,2/20/2002,40.17667,-77.18507,11.7
3345,2/20/2002,40.17999,-77.18692,11.4
3346,2/20/2002,40.18844,-77.18606,11.6
3347,2/20/2002,40.19528,-77.18423,11.5
3348,2/20/2002,40.20792,-77.18104,10.5
3349,2/20/2002,40.21418,-77.16883,10.3
3350,2/20/2002,40.21847,-77.16003,10.3
3351,2/20/2002,40.22429,-77.14928,10.4
3352,2/20/2002,40.19608,-77.18518,10.1
3355,2/21/2006,40.17663,-77.18537,11.8
3356,2/21/2006,40.23487,-77.14193,10.2
3357,2/21/2006,40.17667,-77.18507,11.7
3358,2/21/2006,40.17999,-77.18692,11.5
3359,2/21/2006,40.18844,-77.18606,11.6
3360,2/21/2006,40.19528,-77.18423,11.6
3361,2/21/2006,40.20792,-77.18104,10.4
3362,2/21/2006,40.21418,-77.16883,10.7
3363,2/21/2006,40.21847,-77.16003,10.5
3364,2/21/2006,40.22429,-77.14928,10.7
3365,2/21/2006,40.19568,-77.18767,13.6
3366,2/21/2006,40.19608,-77.18518,13.2
3367,2/21/2006,40.19588,-77.18745,7.7
3368,2/22/2011,40.17663,-77.18537,11.1
3369,2/22/2011,40.23487,-77.14193,6
3370,2/22/2011,40.17667,-77.18507,11.3
3371,2/22/2011,40.17999,-77.18692,10.6
3372,2/22/2011,40.18844,-77.18606,10.4
3373,2/22/2011,40.19528,-77.18423,10.3
3374,2/22/2011,40.20792,-77.18104,8.3
3375,2/22/2011,40.21418,-77.16883,7.8
3376,2/22/2011,40.21847,-77.16003,7.34
3377,2/22/2011,40.22429,-77.14928,7
3378,2/22/2011,40.19568,-77.18767,13.2
3380,2/25/2003,40.17663,-77.18537,11.3
3381,2/25/2003,40.23487,-77.14193,10
3382,2/25/2003,40.17667,-77.18507,11.2
3383,2/25/2003,40.17999,-77.18692,11.2
3384,2/25/2003,40.18844,-77.18606,10.8
3385,2/25/2003,40.19528,-77.18423,10.6
3386,2/25/2003,40.20792,-77.18104,10.2
3387,2/25/2003,40.21418,-77.16883,10.2
3388,2/25/2003,40.21847,-77.16003,9.9
3389,2/25/2003,40.22429,-77.14928,9.9
3390,2/25/2003,40.19568,-77.18767,11.1
3391,2/25/2003,40.19608,-77.18518,11.8
3392,2/26/2000,40.17663,-77.18537,11
3393,2/26/2000,40.23487,-77.14193,14
3394,2/26/2000,40.17667,-77.18507,14
3395,2/26/2000,40.17999,-77.18692,11
3396,2/26/2000,40.18844,-77.18606,11
3397,2/26/2000,40.19528,-77.18423,14
3398,2/26/2000,40.20792,-77.18104,14
3399,2/26/2000,40.21418,-77.16883,15
3400,2/26/2000,40.21847,-77.16003,14
3401,2/26/2000,40.22429,-77.14928,13
3402,2/26/2001,40.17663,-77.18537,12.2
3403,2/26/2001,40.23487,-77.14193,10.8
3404,2/26/2001,40.17667,-77.18507,12.6
3405,2/26/2001,40.17999,-77.18692,11.5
3406,2/26/2001,40.18844,-77.18606,12.2
3407,2/26/2001,40.19528,-77.18423,12.8
3408,2/26/2001,40.20792,-77.18104,11.6
3409,2/26/2001,40.21418,-77.16883,10.6
3410,2/26/2001,40.21847,-77.16003,10.7
3411,2/26/2001,40.22429,-77.14928,10.9
3412,2/26/2001,40.19568,-77.18767,11.6
3413,2/26/2001,40.19608,-77.18518,13.2
3414,2/28/2005,40.17663,-77.18537,10.3
3415,2/28/2005,40.23487,-77.14193,8.4
3416,2/28/2005,40.17667,-77.18507,10.1
3417,2/28/2005,40.17999,-77.18692,9.6
3418,2/28/2005,40.18844,-77.18606,9.4
3419,2/28/2005,40.19528,-77.18423,9
3420,2/28/2005,40.20792,-77.18104,8.6
3421,2/28/2005,40.21418,-77.16883,8.4
3422,2/28/2005,40.21847,-77.16003,8.5
3423,2/28/2005,40.22429,-77.14928,8.3
3424,2/28/2005,40.19568,-77.18767,10.2
3425,2/28/2005,40.19608,-77.18518,9.3
3426,2/28/2005,40.19588,-77.18745,9
3427,2/28/2014,40.23487,-77.14193,8.9
3428,2/28/2014,40.18844,-77.18606,10.9
3429,2/28/2014,40.19528,-77.18423,10.9
3430,2/28/2014,40.20792,-77.18104,9.6
3431,2/28/2014,40.21418,-77.16883,8.9
3432,2/28/2014,40.22429,-77.14928,9.1
3433,2/28/2014,40.17663,-77.18537,11.3
3434,2/28/2014,40.17667,-77.18507,11.4
3435,2/28/2014,40.17999,-77.18692,10.3
3436,2/28/2014,40.21847,-77.16003,8.6
3443,3/1/1993,40.17663,-77.18537,13
3444,3/1/1993,40.23487,-77.14193,12.56
3445,3/1/1993,40.17667,-77.18507,13
3446,3/1/1993,40.17999,-77.18692,12.56
3447,3/1/1993,40.18844,-77.18606,12.83
3448,3/1/1993,40.19528,-77.18423,13
3449,3/1/1993,40.20792,-77.18104,12.5
