"","Date","Latitude","Longitude","water_temp"
"187",2019-06-20,38.9466,-77.05575,21
"188",2019-06-20,38.86535,-77.0102,25
"189",2019-06-20,38.90431,-77.07193,26
"190",2019-06-20,38.9098,-76.9618,22
"191",2019-06-20,38.9089,-77.0507,23
"192",2019-06-20,38.87637,-77.04671,25
"193",2019-06-20,38.93831,-77.05258,20
"194",2019-06-20,38.90008,-77.05842,26
"195",2019-06-20,38.9116,-76.9546,25
"196",2019-06-20,38.92176,-77.06027,18
"197",2019-06-20,38.97634,-77.0522,20.5
"198",2019-06-20,38.87278,-77.0006,25
"199",2019-06-20,38.8799,-76.9709,26
"200",2019-06-20,38.8939,-76.9655,26
"201",2019-06-20,38.95748,-77.06218,27
"202",2019-06-20,38.92586,-77.0951,19.7
"203",2019-06-20,38.93337,-77.05024,23
"204",2019-06-20,38.9187,-77.1031,26.2
"205",2019-06-20,38.88495,-77.0355,26
"206",2019-06-20,38.91583,-77.08306,21.5
"207",2019-06-26,38.9832,-77.0407,20.5
"208",2019-06-26,38.9466,-77.05575,20
"209",2019-06-26,38.90431,-77.07193,25.5
"210",2019-06-26,38.9098,-76.9618,22
"211",2019-06-26,38.90008,-77.05842,26
"212",2019-06-26,38.97634,-77.0522,20
"213",2019-06-26,38.9116,-76.9546,25
"214",2019-06-26,38.8799,-76.9709,26
"215",2019-06-26,38.87278,-77.0006,27
"216",2019-06-26,38.93337,-77.05024,21.5
"217",2019-06-26,38.95748,-77.06218,21
"218",2019-06-26,38.77654,-77.04784,27.5
"219",2019-06-26,38.8939,-76.9655,27
"220",2019-06-26,38.92176,-77.06027,19
"221",2019-06-26,38.87637,-77.04671,27
"222",2019-06-26,38.93831,-77.05258,20
"223",2019-06-26,38.86535,-77.0102,25
"224",2019-06-26,38.92586,-77.0951,16
"225",2019-06-26,38.8774,-77.0246,25
"226",2019-06-26,38.9187,-77.1031,25.5
"227",2019-06-26,38.88495,-77.0355,27
"228",2019-06-26,38.9089,-77.0507,24
"229",2019-06-26,38.91583,-77.08306,19.5
"230",2019-07-02,38.9832,-77.0407,21
"231",2019-07-02,38.90431,-77.07193,27
"232",2019-07-02,38.93831,-77.05258,18
"233",2019-07-02,38.9466,-77.05575,19
"234",2019-07-02,38.93337,-77.05024,21
"235",2019-07-02,38.90008,-77.05842,28
"236",2019-07-02,38.86535,-77.0102,27
"237",2019-07-02,38.9098,-76.9618,22
"238",2019-07-02,38.9116,-76.9546,25
"239",2019-07-02,38.87278,-77.0006,27
"240",2019-07-02,38.97634,-77.0522,19.5
"241",2019-07-02,38.8799,-76.9709,27
"242",2019-07-02,38.92586,-77.0951,18
"243",2019-07-02,38.95748,-77.06218,21
"244",2019-07-02,38.9089,-77.0507,22
"245",2019-07-02,38.8774,-77.0246,26
"246",2019-07-02,38.8939,-76.9655,27
"247",2019-07-02,38.87637,-77.04671,28
"248",2019-07-02,38.92176,-77.06027,19
"249",2019-07-02,38.9187,-77.1031,26
"250",2019-07-02,38.77654,-77.04784,28
"251",2019-07-02,38.77654,-77.04784,28
"252",2019-07-02,38.88495,-77.0355,28
"253",2019-07-02,38.91583,-77.08306,21
"254",2019-07-10,38.9832,-77.0407,22
"255",2019-07-10,38.86535,-77.0102,25
"256",2019-07-10,38.9187,-77.1031,25
"257",2019-07-10,38.90431,-77.07193,24.5
"258",2019-07-10,38.90008,-77.05842,25
"259",2019-07-10,38.92586,-77.0951,18.5
"260",2019-07-10,38.87278,-77.0006,27
"261",2019-07-10,38.9089,-77.0507,22
"262",2019-07-10,38.8939,-76.9655,25
"263",2019-07-10,38.91583,-77.08306,20.5
"264",2019-07-10,38.93337,-77.05024,22.5
"265",2019-07-10,38.95748,-77.06218,20.5
"266",2019-07-10,38.9098,-76.9618,22.5
"267",2019-07-10,38.97634,-77.0522,20.5
"268",2019-07-10,38.8799,-76.9709,25
"269",2019-07-10,38.93831,-77.05258,21
"270",2019-07-10,38.92176,-77.06027,19
"271",2019-07-10,38.9466,-77.05575,21
"272",2019-07-10,38.9116,-76.9546,25.5
"273",2019-07-10,38.87637,-77.04671,26.5
"274",2019-07-10,38.88495,-77.0355,27
"275",2019-07-10,38.77654,-77.04784,26.5
"276",2019-07-10,38.8774,-77.0246,28
"277",2019-07-17,38.9832,-77.0407,25
"278",2019-07-17,38.9187,-77.1031,28
"279",2019-07-17,38.9466,-77.05575,23
"280",2019-07-17,38.8774,-77.0246,29
"281",2019-07-17,38.92586,-77.0951,20
